Scheme,Throughput_Mbps
Proposed,529.8
Proposed,546.84
Proposed,583.08
Proposed,546.48
Proposed,562.56
Proposed,520.92
Proposed,588.72
Proposed,525.72
Proposed,583.92
Proposed,558.6
Proposed,498.36
Proposed,520.44
Proposed,561.72
Proposed,534.84
Proposed,571.32
Proposed,521.4
Proposed,559.32
Proposed,502.44
Proposed,612.6
Proposed,509.4
Proposed,499.32
Proposed,531.24
Proposed,536.76
Proposed,577.08
Proposed,503.16
Proposed,524.88
Proposed,537.84
Proposed,537.0
Proposed,535.2
Proposed,592.92
Proposed,578.28
Proposed,582.48
Proposed,615.12
Proposed,565.56
Proposed,583.44
Proposed,534.6
Proposed,570.48
Proposed,596.16
Proposed,583.8
Proposed,541.8
Proposed,564.24
Proposed,588.36
Proposed,564.48
Proposed,543.12
Proposed,537.36
Proposed,565.8
Proposed,567.84
Proposed,527.4
Proposed,540.84
Proposed,562.8
Proposed,587.64
Proposed,485.16
Proposed,559.08
Proposed,604.92
Proposed,518.64
Proposed,574.68
Proposed,575.88
Proposed,537.36
Proposed,552.96
Proposed,540.6
Proposed,584.4
Proposed,593.52
Proposed,548.64
Proposed,557.16
Proposed,579.84
Proposed,541.32
Proposed,554.16
Proposed,564.96
Proposed,571.68
Proposed,583.08
Proposed,522.0
Proposed,593.28
Proposed,568.32
Proposed,579.72
Proposed,561.96
Proposed,516.36
Proposed,574.56
Proposed,578.52
Proposed,584.64
Proposed,536.04
Proposed,567.12
Proposed,576.48
Proposed,462.6
Proposed,576.12
Proposed,590.76
Proposed,538.32
Proposed,517.92
Proposed,527.16
Proposed,548.76
Proposed,587.04
Proposed,574.8
Proposed,508.08
Proposed,599.76
Proposed,626.64
Proposed,557.04
Proposed,551.4
Proposed,616.44
Proposed,610.56
Proposed,554.76
Proposed,557.76
Proposed,546.36
Proposed,513.0
Proposed,594.48
Proposed,584.76
Proposed,539.52
Proposed,566.4
Proposed,615.6
Proposed,574.56
Proposed,562.92
Proposed,588.0
Proposed,544.92
Proposed,542.76
Proposed,540.84
Proposed,561.84
Proposed,578.04
Proposed,552.84
Proposed,586.44
Proposed,556.2
Proposed,579.0
Proposed,612.84
Proposed,557.88
Proposed,566.28
Proposed,564.12
Proposed,600.72
Proposed,552.96
Proposed,574.92
MADRL,424.56
MADRL,510.24
MADRL,528.36
MADRL,550.56
MADRL,521.52
MADRL,503.64
MADRL,532.92
MADRL,542.04
MADRL,538.8
MADRL,520.56
MADRL,607.08
MADRL,553.44
MADRL,592.92
MADRL,524.16
MADRL,517.2
MADRL,567.24
MADRL,537.12
MADRL,578.28
MADRL,565.8
MADRL,576.84
MADRL,542.28
MADRL,571.2
MADRL,490.32
MADRL,582.48
MADRL,525.24
MADRL,568.8
MADRL,542.4
MADRL,568.2
MADRL,514.08
MADRL,556.08
MADRL,488.76
MADRL,559.68
MADRL,568.92
MADRL,536.76
MADRL,516.6
MADRL,517.2
MADRL,573.24
MADRL,575.64
MADRL,541.92
MADRL,526.44
MADRL,547.32
MADRL,562.8
MADRL,591.72
MADRL,606.0
MADRL,548.16
MADRL,543.24
MADRL,548.76
MADRL,535.8
MADRL,572.88
MADRL,545.04
MADRL,548.64
MADRL,486.12
MADRL,599.52
MADRL,555.24
MADRL,530.52
MADRL,555.84
MADRL,525.84
MADRL,570.48
MADRL,496.32
MADRL,600.48
MADRL,537.36
MADRL,518.28
MADRL,578.4
MADRL,533.88
MADRL,527.88
MADRL,534.6
MADRL,605.64
MADRL,565.68
MADRL,522.24
MADRL,560.52
MADRL,546.48
MADRL,569.4
MADRL,572.52
MADRL,445.2
MADRL,490.68
MADRL,594.96
MADRL,558.6
MADRL,547.08
MADRL,530.4
MADRL,524.88
MADRL,600.12
MADRL,563.88
MADRL,531.96
MADRL,554.76
MADRL,598.08
MADRL,538.68
MADRL,539.16
MADRL,494.76
MADRL,592.32
MADRL,516.84
MADRL,564.24
MADRL,554.88
MADRL,554.52
MADRL,532.08
MADRL,556.56
MADRL,497.4
MADRL,535.32
MADRL,592.08
MADRL,555.0
MADRL,566.52
MADRL,423.0
MADRL,520.32
MADRL,509.64
MADRL,547.32
MADRL,536.04
MADRL,539.64
MADRL,485.64
MADRL,493.44
MADRL,590.16
MADRL,554.4
MADRL,490.56
MADRL,532.32
MADRL,549.84
MADRL,531.24
MADRL,515.16
MADRL,547.68
MADRL,562.56
MADRL,553.92
MADRL,525.36
MADRL,493.32
MADRL,474.36
MADRL,569.28
MADRL,546.96
MADRL,509.64
MADRL,564.36
MADRL,531.0
MADRL,567.48
MADRL,528.84
MADRL,567.72
MADRL,495.96
MADRL,534.96
