Scheme,Throughput_Mbps
MADRL,224.04
MADRL,200.76
MADRL,284.04
MADRL,234.24
MADRL,205.08
MADRL,233.28
MADRL,242.76
MADRL,249.6
MADRL,244.56
MADRL,216.36
MADRL,249.6
MADRL,240.84
MADRL,262.68
MADRL,267.48
MADRL,246.12
MADRL,225.0
MADRL,220.08
MADRL,216.0
MADRL,256.56
MADRL,236.4
MADRL,236.76
MADRL,261.96
MADRL,249.36
MADRL,172.68
MADRL,235.2
MADRL,258.84
MADRL,263.88
MADRL,231.84
MADRL,265.92
MADRL,246.48
MADRL,228.72
MADRL,269.64
MADRL,285.0
MADRL,233.52
MADRL,243.84
MADRL,253.32
MADRL,260.88
MADRL,252.96
MADRL,278.88
MADRL,209.52
MADRL,220.8
MADRL,236.88
MADRL,258.72
MADRL,246.6
MADRL,273.96
MADRL,276.12
MADRL,203.28
MADRL,228.0
MADRL,213.48
MADRL,207.48
MADRL,233.16
MADRL,224.4
MADRL,259.2
MADRL,263.28
MADRL,255.24
MADRL,205.2
MADRL,234.24
MADRL,248.28
MADRL,270.36
MADRL,243.72
MADRL,276.84
MADRL,260.16
MADRL,241.92
MADRL,233.76
MADRL,233.64
MADRL,258.0
MADRL,261.6
MADRL,247.8
MADRL,257.04
MADRL,228.72
MADRL,260.88
MADRL,223.56
MADRL,246.84
MADRL,241.56
MADRL,212.88
MADRL,239.04
MADRL,226.8
MADRL,266.04
MADRL,248.88
MADRL,256.56
MADRL,270.6
MADRL,215.52
MADRL,234.84
MADRL,232.68
MADRL,232.92
MADRL,276.84
MADRL,279.84
MADRL,263.04
MADRL,220.92
MADRL,265.32
MADRL,267.96
MADRL,249.84
MADRL,239.88
MADRL,258.0
MADRL,247.68
MADRL,218.4
MADRL,231.96
MADRL,263.88
MADRL,235.08
MADRL,215.16
MADRL,259.2
MADRL,234.12
MADRL,270.72
MADRL,274.56
MADRL,209.52
MADRL,228.72
MADRL,262.08
MADRL,240.36
MADRL,259.92
MADRL,239.16
MADRL,254.4
MADRL,260.88
MADRL,249.0
MADRL,222.96
MADRL,218.16
MADRL,239.04
MADRL,204.12
MADRL,249.0
MADRL,227.04
MADRL,239.88
MADRL,234.24
MADRL,238.8
MADRL,260.16
MADRL,236.88
MADRL,243.0
MADRL,233.16
MADRL,273.6
MADRL,239.52
MADRL,230.28
MADRL,279.84
MADRL,233.04
MADRL,244.68
MADRL,238.2
MADRL,216.12
MADRL,253.8
MADRL,235.92
MADRL,273.72
MADRL,228.36
MADRL,228.6
MADRL,281.64
MADRL,210.24
MADRL,269.64
MADRL,252.72
MADRL,237.72
MADRL,253.92
MADRL,236.4
MADRL,233.88
MADRL,233.76
MADRL,260.64
MADRL,252.12
MADRL,261.12
MADRL,252.36
MADRL,268.08
MADRL,237.0
MADRL,259.8
MADRL,252.72
MADRL,236.88
MADRL,252.48
MADRL,232.8
MADRL,260.52
MADRL,240.72
MADRL,222.6
MADRL,274.2
MADRL,251.28
MADRL,222.0
MADRL,258.48
MADRL,294.36
MADRL,246.36
MADRL,240.72
MADRL,277.68
MADRL,263.16
MADRL,259.56
MADRL,209.4
MADRL,260.16
MADRL,264.36
MADRL,276.36
MADRL,229.08
MADRL,303.24
MADRL,254.4
MADRL,259.8
MADRL,205.44
MADRL,273.48
MADRL,243.0
MADRL,274.56
MADRL,227.4
MADRL,252.6
MADRL,279.6
MADRL,275.64
MADRL,294.36
MADRL,258.72
MADRL,231.96
MADRL,249.6
MADRL,283.68
MADRL,267.12
MADRL,239.52
MADRL,266.4
MADRL,285.24
MADRL,250.8
MADRL,260.04
MADRL,254.52
MADRL,246.24
MADRL,250.44
MADRL,251.4
MADRL,252.48
MADRL,249.0
MADRL,264.6
MADRL,269.64
MADRL,227.76
MADRL,280.32
MADRL,249.96
MADRL,311.16
MADRL,293.64
MADRL,254.04
MADRL,282.12
MADRL,274.56
MADRL,278.76
MADRL,258.48
MADRL,233.52
MADRL,219.36
MADRL,241.2
MADRL,247.92
MADRL,252.24
MADRL,282.24
MADRL,292.56
MADRL,217.92
MADRL,230.88
MADRL,258.48
MADRL,274.92
MADRL,264.72
MADRL,237.96
MADRL,223.56
MADRL,195.6
MADRL,254.52
MADRL,224.28
MADRL,261.84
MADRL,272.04
MADRL,271.8
MADRL,234.96
MADRL,289.92
MADRL,261.0
MADRL,278.16
MADRL,229.8
MADRL,250.2
MADRL,234.72
MADRL,252.0
MADRL,260.88
MADRL,249.0
MADRL,260.64
MADRL,240.72
MADRL,234.0
MADRL,215.88
MADRL,274.32
MADRL,252.12
MADRL,237.6
MADRL,258.48
MADRL,277.2
MADRL,228.84
MADRL,240.96
MADRL,301.08
MADRL,251.52
MADRL,254.28
MADRL,258.48
MADRL,276.24
MADRL,282.36
MADRL,266.28
MADRL,243.24
MADRL,271.32
MADRL,231.72
MADRL,241.8
MADRL,248.4
MADRL,261.6
MADRL,243.36
MADRL,264.36
MADRL,206.88
MADRL,269.28
MADRL,257.52
MADRL,279.96
MADRL,271.32
MADRL,270.12
MADRL,244.92
MADRL,258.48
MADRL,246.24
MADRL,231.84
MADRL,270.84
MADRL,270.36
MADRL,248.4
MADRL,249.0
MADRL,270.84
MADRL,247.68
MADRL,202.32
MADRL,240.24
MADRL,239.28
MADRL,252.96
MADRL,239.76
MADRL,264.96
MADRL,262.44
MADRL,260.04
MADRL,241.8
MADRL,288.48
MADRL,271.8
MADRL,258.6
MADRL,261.24
MADRL,261.6
MADRL,211.92
MADRL,285.24
MADRL,219.84
MADRL,232.56
MADRL,234.0
MADRL,271.8
MADRL,294.96
MADRL,249.72
MADRL,249.48
MADRL,279.24
MADRL,244.44
MADRL,288.12
MADRL,284.16
MADRL,241.8
MADRL,253.44
MADRL,269.76
MADRL,231.96
MADRL,233.16
MADRL,239.52
MADRL,306.12
MADRL,242.52
MADRL,297.48
MADRL,195.36
MADRL,294.0
MADRL,262.56
MADRL,276.72
MADRL,276.24
MADRL,279.24
MADRL,235.68
MADRL,243.6
MADRL,305.04
MADRL,245.52
MADRL,235.92
MADRL,259.56
MADRL,234.6
MADRL,248.28
MADRL,256.92
MADRL,295.08
MADRL,239.88
MADRL,263.16
MADRL,241.32
MADRL,228.36
MADRL,241.56
MADRL,307.32
MADRL,269.28
MADRL,287.52
MADRL,243.72
MADRL,236.16
MADRL,267.72
MADRL,260.88
MADRL,248.76
MADRL,231.36
MADRL,228.36
MADRL,258.12
MADRL,265.56
MADRL,283.44
MADRL,268.08
MADRL,244.8
MADRL,226.92
MADRL,267.6
MADRL,246.6
MADRL,250.32
MADRL,255.12
MADRL,291.6
MADRL,252.6
MADRL,236.28
MADRL,249.12
MADRL,268.2
MADRL,276.6
MADRL,267.24
MADRL,256.2
MADRL,241.2
MADRL,259.44
MADRL,269.28
MADRL,303.96
MADRL,229.68
MADRL,267.96
MADRL,269.88
MADRL,245.52
MADRL,254.28
MADRL,289.2
MADRL,271.8
MADRL,279.12
MADRL,254.64
MADRL,280.68
MADRL,276.48
MADRL,272.28
MADRL,253.2
MADRL,272.52
MADRL,287.64
MADRL,228.0
MADRL,266.04
MADRL,280.44
MADRL,250.92
MADRL,251.16
MADRL,269.76
MADRL,280.44
MADRL,313.8
MADRL,280.44
MADRL,269.76
MADRL,284.52
MADRL,289.68
MADRL,258.0
MADRL,283.2
MADRL,264.72
MADRL,297.84
MADRL,258.24
MADRL,276.96
MADRL,244.92
MADRL,245.76
MADRL,246.0
MADRL,287.52
MADRL,230.4
MADRL,262.44
MADRL,187.92
MADRL,279.48
MADRL,299.04
MADRL,229.56
MADRL,259.08
MADRL,266.52
