Scheme,Throughput_Mbps
MADRL,266.16
MADRL,254.64
MADRL,278.52
MADRL,287.52
MADRL,273.36
MADRL,263.04
MADRL,265.2
MADRL,246.24
MADRL,207.84
MADRL,277.32
MADRL,224.4
MADRL,246.0
MADRL,243.12
MADRL,255.6
MADRL,268.32
MADRL,291.6
MADRL,254.28
MADRL,263.76
MADRL,243.12
MADRL,225.96
MADRL,272.52
MADRL,262.56
MADRL,287.64
MADRL,273.84
MADRL,247.32
MADRL,257.4
MADRL,258.48
MADRL,284.76
MADRL,250.2
MADRL,234.36
MADRL,269.88
MADRL,271.8
MADRL,243.48
MADRL,280.2
MADRL,254.88
MADRL,232.32
MADRL,277.92
MADRL,270.36
MADRL,234.36
MADRL,250.32
MADRL,261.48
MADRL,254.28
MADRL,249.48
MADRL,264.48
MADRL,263.76
MADRL,282.24
MADRL,268.44
MADRL,204.72
MADRL,238.56
MADRL,261.48
MADRL,236.52
MADRL,244.56
MADRL,238.68
MADRL,254.4
MADRL,264.0
MADRL,217.08
MADRL,245.4
MADRL,234.48
MADRL,223.32
MADRL,247.56
MADRL,239.52
MADRL,243.6
MADRL,224.4
MADRL,276.0
MADRL,263.16
MADRL,234.72
MADRL,236.88
MADRL,212.16
MADRL,251.28
MADRL,244.92
MADRL,238.68
MADRL,271.44
MADRL,250.56
MADRL,277.2
MADRL,271.44
MADRL,273.48
MADRL,241.68
MADRL,267.12
MADRL,237.36
MADRL,241.08
MADRL,221.04
MADRL,236.16
MADRL,250.92
MADRL,263.52
MADRL,212.4
MADRL,268.44
MADRL,240.24
MADRL,237.96
MADRL,262.32
MADRL,207.84
MADRL,246.48
MADRL,246.6
MADRL,240.96
MADRL,256.32
MADRL,210.84
MADRL,233.16
MADRL,261.72
MADRL,274.32
MADRL,222.24
MADRL,272.04
MADRL,240.0
MADRL,226.08
MADRL,250.8
MADRL,221.64
MADRL,280.44
MADRL,294.72
MADRL,259.08
MADRL,256.32
MADRL,262.44
MADRL,273.72
MADRL,231.84
MADRL,216.48
MADRL,220.32
MADRL,238.56
MADRL,214.44
MADRL,280.08
